"EMAIL","ID","ISFRAUD","NAME","PHONENUMBER","SSN"
"ella.graves405@gmail.com","4868700826415240","true","Ella Graves","676-341-823","405-67-8005"
"glass226@gmail.com","4947692685285233","true","Carson Glass","924-309-397","226-65-0861"
"sophielopez884@yahoo.com","4692603340295910","true","Sophie Lopez","335-223-176","884-29-4786"
"owens831@yahoo.com","4638047388200225","true","Grayson Owens","383-231-323","831-16-5656"
"damian.schultz365@gmail.com","4941880730081105","true","Damian Schultz","973-121-335","365-01-9634"
"noble469@mail.com","4344553010226061","true","Brianna Noble","036-101-3590","469-96-2678"
"barnett839@mail.com","4525245432585650","true","Reagan Barnett","578-192-4754","839-65-7737"
"jonathan.william120@yahoo.com","4161884384291278","true","Jonathan William","490-100-6163","120-69-9717"
"miaprice139@yahoo.com","4378351026704133","true","Mia Price","033-915-6776","139-13-4318"
"summers193@mail.com","4737579859260841","true","Emily Summers","247-404-320","193-45-7394"
"chloe.george670@yahoo.com","4843110711063859","true","Chloe George","811-787-1540","670-51-0038"
"bailey.english556@gmail.com","4745886444894673","true","Bailey English","548-842-9883","556-68-3477"
"pennington813@yahoo.com","4272324457122577","true","Reagan Pennington","090-616-486","813-78-1264"
"nathaniel.gilmore333@yahoo.com","4746989788782410","true","Nathaniel Gilmore","438-549-5580","333-39-0154"
"chase.alford330@yahoo.com","4653299594429649","true","Chase Alford","466-855-863","330-38-0522"
"ariannablack079@gmail.com","4148234462706284","true","Arianna Black","921-327-3200","079-71-3946"
"keith852@gmail.com","4175203250712222","true","Layla Keith","762-815-904","852-97-2620"
"mercado482@mail.com","4204031285648920","true","Serenity Mercado","801-113-1477","482-99-3741"
"aguirre127@gmail.com","4528665937588197","true","Carson Aguirre","475-622-550","127-20-9710"
"damian.harvey590@yahoo.com","4665695102616088","true","Damian Harvey","252-212-0309","590-02-2146"
"joshua.ramirez556@gmail.com","4718020519130317","true","Joshua Ramirez","994-898-085","556-60-7895"
"aria.castaneda792@mail.com","4305144932338684","true","Aria Castaneda","171-387-501","792-68-1574"
"luis.taylor490@gmail.com","4587420123151246","true","Luis Taylor","052-613-1615","490-74-2503"
"naomi.walsh363@mail.com","4685753834806992","true","Naomi Walsh","290-273-653","363-20-0476"
"nolanemerson051@mail.com","4443577900714738","true","Nolan Emerson","558-098-156","051-27-5054"
"nevaeh.mccall852@yahoo.com","4752437188811208","true","Nevaeh Mccall","024-873-519","852-46-8422"
"ashley.yang811@mail.com","4175006468051873","true","Ashley Yang","720-942-393","811-50-4509"
"mcclain294@yahoo.com","4834198027984240","true","Jason Mcclain","234-888-6672","294-33-0169"
"charles.chase889@yahoo.com","4492076521329117","true","Charles Chase","699-965-9981","889-24-8693"
"william.reilly413@yahoo.com","4281871790801688","true","William Reilly","601-992-7940","413-35-4896"
"benjamin.bond731@mail.com","4044062639920040","true","Benjamin Bond","274-131-926","731-25-0633"
"townsend650@mail.com","4833476367124424","true","Sophie Townsend","370-654-974","650-47-8800"
