"ACTION","AMOUNT","GLOBALSTEP","IDDEST","IDORIG","ISFLAGGEDFRAUD","ISFRAUD","NAMEDEST","NAMEORIG","TYPEDEST","TYPEORIG"
"DEBIT","20598.602004058164","878","B45-0009267","4732762700018098","false","false","Bank of Reed","Madeline Hinton","BANK","CLIENT"
"DEBIT","7848.716423360147","1043","B45-0009267","4590097259282824","false","false","Bank of Reed","Jackson Moon","BANK","CLIENT"
"DEBIT","2505.4974012920766","2251","B74-0005094","4214355863641512","false","false","Bank of Cooke","Claire Holder","BANK","CLIENT"
"DEBIT","5029.3321145575","3039","B91-0007919","4296128647722101","false","false","Bank of Farmer","Robert Holder","BANK","CLIENT"
"DEBIT","1998.8624196450087","3409","B61-0008968","4570513869539464","false","false","Bank of Lindsay","Damian Craft","BANK","CLIENT"
"DEBIT","13419.822870908598","3412","B74-0005094","4982328956784028","false","false","Bank of Cooke","John Kirby","BANK","CLIENT"
"DEBIT","9416.968825113876","3484","B61-0008968","4744468736938772","false","false","Bank of Lindsay","Aaliyah Harrington","BANK","CLIENT"
"DEBIT","7557.0341650474875","4068","B45-0009267","4321366473679966","false","false","Bank of Reed","Oliver Jones","BANK","CLIENT"
"DEBIT","10330.576759623522","4098","B91-0007919","4433992441573455","false","false","Bank of Farmer","Sydney Mathews","BANK","CLIENT"
"DEBIT","10889.07523940822","4139","B45-0009267","4590097259282824","false","false","Bank of Reed","Jackson Moon","BANK","CLIENT"
"DEBIT","1646.7904125594087","4141","B45-0009267","4590097259282824","false","false","Bank of Reed","Jackson Moon","BANK","CLIENT"
"DEBIT","8701.361761200875","4142","B45-0009267","4590097259282824","false","false","Bank of Reed","Jackson Moon","BANK","CLIENT"
"DEBIT","3076.3255265962493","4252","B61-0008968","4083353481918675","false","false","Bank of Lindsay","Carter Martinez","BANK","CLIENT"
"DEBIT","3180.0224395301066","4320","B45-0009267","4336145546478603","false","false","Bank of Reed","Hunter Justice","BANK","CLIENT"
"DEBIT","18697.48649025897","4915","B61-0008968","4744468736938772","false","false","Bank of Lindsay","Aaliyah Harrington","BANK","CLIENT"
"DEBIT","8240.325331243805","6108","B91-0007919","4541632516993308","false","false","Bank of Farmer","Ellie Stanton","BANK","CLIENT"
"DEBIT","708.0724555331326","6242","B61-0008968","4570513869539464","false","false","Bank of Lindsay","Damian Craft","BANK","CLIENT"
"DEBIT","5469.244159707507","6272","B91-0007919","4866051596912558","false","false","Bank of Farmer","Andrea Brady","BANK","CLIENT"
"DEBIT","8307.152309629908","6383","B74-0005094","4077521964334028","false","false","Bank of Cooke","Sarah Booth","BANK","CLIENT"
"DEBIT","11280.538419481283","7064","B74-0005094","4214355863641512","false","false","Bank of Cooke","Claire Holder","BANK","CLIENT"
"DEBIT","22914.63116645172","7411","B91-0007919","4918361969292514","false","false","Bank of Farmer","Ashley Nolan","BANK","CLIENT"
"DEBIT","17678.519469875617","7464","B91-0007919","4408560861175001","false","false","Bank of Farmer","Makayla Bush","BANK","CLIENT"
"DEBIT","1244.5355955471987","7549","B45-0009267","4626680393821140","false","false","Bank of Reed","Genesis Wise","BANK","CLIENT"
"DEBIT","26232.764690717824","7592","B61-0008968","4093070823003952","false","false","Bank of Lindsay","Audrey Gonzalez","BANK","CLIENT"
"DEBIT","25224.804161629057","7735","B91-0007919","4888543005392889","false","false","Bank of Farmer","Jack Kelley","BANK","CLIENT"
"DEBIT","38452.91588150375","7737","B61-0008968","4744468736938772","false","false","Bank of Lindsay","Aaliyah Harrington","BANK","CLIENT"
"DEBIT","10496.436864036074","8141","B61-0008968","4807038095045016","false","false","Bank of Lindsay","Kimberly Kelly","BANK","CLIENT"
"DEBIT","18769.25411612228","8343","B91-0007919","4433992441573455","false","false","Bank of Farmer","Sydney Mathews","BANK","CLIENT"
"DEBIT","4315.536475375311","9084","B61-0008968","4017385101040044","false","false","Bank of Lindsay","Carson Murray","BANK","CLIENT"
"DEBIT","2566.2869745239623","9099","B61-0008968","4314960534684533","false","false","Bank of Lindsay","Natalie Velazquez","BANK","CLIENT"
"DEBIT","6067.373319460861","9767","B45-0009267","4590097259282824","false","false","Bank of Reed","Jackson Moon","BANK","CLIENT"
"DEBIT","12369.29180116996","9831","B45-0009267","4834521934366815","false","false","Bank of Reed","Chase Sloan","BANK","CLIENT"
"DEBIT","7042.488054361549","9832","B45-0009267","4834521934366815","false","false","Bank of Reed","Chase Sloan","BANK","CLIENT"
"DEBIT","4819.595397856738","9957","B45-0009267","4336145546478603","false","false","Bank of Reed","Hunter Justice","BANK","CLIENT"
"DEBIT","10203.93664626784","10155","B45-0009267","4834521934366815","false","false","Bank of Reed","Chase Sloan","BANK","CLIENT"
"DEBIT","13600.684801752055","10158","B61-0008968","4083353481918675","false","false","Bank of Lindsay","Carter Martinez","BANK","CLIENT"
"DEBIT","9900.88804085029","10912","B91-0007919","4850537843722251","false","false","Bank of Farmer","Adam Ballard","BANK","CLIENT"
"DEBIT","6311.763993204684","11019","B74-0005094","4876990248923794","false","false","Bank of Cooke","Alex Massey","BANK","CLIENT"
"DEBIT","4038.0860469201916","11081","B45-0009267","4120483216560487","false","false","Bank of Reed","Carlos Lamb","BANK","CLIENT"
"DEBIT","795.4534478318574","11360","B91-0007919","4598044046731061","false","false","Bank of Farmer","Andrea Joyner","BANK","CLIENT"
"DEBIT","6874.333442788336","11739","B61-0008968","4083353481918675","false","false","Bank of Lindsay","Carter Martinez","BANK","CLIENT"
"DEBIT","11961.04343136043","11792","B61-0008968","4807038095045016","false","false","Bank of Lindsay","Kimberly Kelly","BANK","CLIENT"
"DEBIT","397.2739969515601","11900","B61-0008968","4564913584950228","false","false","Bank of Lindsay","Liam Rivas","BANK","CLIENT"
"DEBIT","8937.313153314677","11921","B61-0008968","4570513869539464","false","false","Bank of Lindsay","Damian Craft","BANK","CLIENT"
"DEBIT","19795.6647183526","12000","B74-0005094","4150706141517724","false","false","Bank of Cooke","Joseph Cotton","BANK","CLIENT"
"DEBIT","8163.120529602802","12020","B61-0008968","4544120256847808","false","false","Bank of Lindsay","Blake Combs","BANK","CLIENT"
"DEBIT","19617.556226519133","12161","B74-0005094","4665794094572902","false","false","Bank of Cooke","Bella Nichols","BANK","CLIENT"
"DEBIT","209.18177275138441","12334","B74-0005094","4167040766952052","false","false","Bank of Cooke","Elizabeth Wood","BANK","CLIENT"
"DEBIT","8923.088160880998","12639","B74-0005094","4741025848335538","false","false","Bank of Cooke","Abigail Delacruz","BANK","CLIENT"
"DEBIT","4353.841584055748","12929","B45-0009267","4321366473679966","false","false","Bank of Reed","Oliver Jones","BANK","CLIENT"
"DEBIT","20295.163498063048","13229","B61-0008968","4744468736938772","false","false","Bank of Lindsay","Aaliyah Harrington","BANK","CLIENT"
"DEBIT","9704.138124230285","13286","B91-0007919","4408560861175001","false","false","Bank of Farmer","Makayla Bush","BANK","CLIENT"
"DEBIT","5314.740383628005","13287","B91-0007919","4408560861175001","false","false","Bank of Farmer","Makayla Bush","BANK","CLIENT"
"DEBIT","13097.850980572577","13377","B61-0008968","4807038095045016","false","false","Bank of Lindsay","Kimberly Kelly","BANK","CLIENT"
"DEBIT","12644.23534066136","13558","B74-0005094","4150706141517724","false","false","Bank of Cooke","Joseph Cotton","BANK","CLIENT"
"DEBIT","1670.0887423719344","13744","B61-0008968","4711862089559004","false","false","Bank of Lindsay","William Mckinney","BANK","CLIENT"
"DEBIT","9961.534097376629","13793","B74-0005094","4051296567638840","false","false","Bank of Cooke","Amelia Lindsey","BANK","CLIENT"
"DEBIT","3173.201783212817","13794","B74-0005094","4051296567638840","false","false","Bank of Cooke","Amelia Lindsey","BANK","CLIENT"
"DEBIT","1289.7496392886312","13810","B61-0008968","4361763517364236","false","false","Bank of Lindsay","Brianna Tanner","BANK","CLIENT"
"DEBIT","2728.01230140757","13863","B61-0008968","4233787467146240","false","false","Bank of Lindsay","Angel Larson","BANK","CLIENT"
"DEBIT","134.60598829306628","13963","B61-0008968","4261657934255236","false","false","Bank of Lindsay","Chase Mcdonald","BANK","CLIENT"
