"ACTION","AMOUNT","GLOBALSTEP","IDDEST","IDORIG","ISFLAGGEDFRAUD","ISFRAUD","NAMEDEST","NAMEORIG","TYPEDEST","TYPEORIG"
"TRANSFER","59.72001570530623","80","4257432936434825","4718136965960898","false","true","Eli Rollins","Bentley Giles","MULE","MULE"
"TRANSFER","16945.226668187977","237","4138529467491382","4220915749594284","false","true","Kaylee Battle","Jayden Shelton","MULE","CLIENT"
"TRANSFER","23463.342069387734","267","4139396596344943","4866051596912558","false","true","Autumn Little","Andrea Brady","MULE","CLIENT"
"TRANSFER","17023.67530962229","269","4122563683829958","4043158847444681","false","true","Justin Burt","Colton Brewer","MULE","CLIENT"
"TRANSFER","443069.04296119785","1569","4534879526463363","4832843293767348","false","false","Jackson Ayers","Ava Casey","CLIENT","CLIENT"
"TRANSFER","17389.776825314762","2030","4806443672380185","4615484971294306","false","true","Emily Caldwell","Ava Nixon","MULE","CLIENT"
"TRANSFER","1279075.679321923","2410","4403494891088569","4156779725027711","false","false","Autumn Clemons","William Berger","CLIENT","CLIENT"
"TRANSFER","693948.6057576416","2412","4403494891088569","4156779725027711","false","false","Autumn Clemons","William Berger","CLIENT","CLIENT"
"TRANSFER","395413.82488240465","2489","4083353481918675","4017385101040044","false","false","Carter Martinez","Carson Murray","CLIENT","CLIENT"
"TRANSFER","650488.266718203","2520","4032289891686159","4484173432975532","false","false","Jonathan Finley","Connor Silva","CLIENT","CLIENT"
"TRANSFER","841230.8559066004","2907","4140681636866345","4624911749099368","false","false","Josiah Key","Logan Adams","CLIENT","CLIENT"
"TRANSFER","14436.56725506403","3229","4044664131908223","4575563620734529","false","false","Ella Harper","Morgan Hunt","CLIENT","CLIENT"
"TRANSFER","472280.45633980527","3469","4167040766952052","4146177205269650","false","false","Elizabeth Wood","Alexis Sullivan","CLIENT","CLIENT"
"TRANSFER","68917.70015420805","3804","4674504847884382","4872545349272873","false","false","Joshua Shepherd","Amelia Ellis","CLIENT","CLIENT"
"TRANSFER","43464.42685386259","3907","4351817236759084","4751316150101353","false","false","Piper Potter","Peyton Mccoy","CLIENT","CLIENT"
"TRANSFER","40023.16102825751","3951","4114661197866993","4284856972457869","false","false","Abigail Battle","Charlotte Flowers","CLIENT","CLIENT"
"TRANSFER","484207.1480477643","3998","4709391052055802","4623240228244340","false","false","Brayden Richardson","Jackson Lambert","CLIENT","CLIENT"
"TRANSFER","238053.02719325584","4032","4296791667192263","4485526329054613","false","false","Emma Koch","Brody Mendez","CLIENT","CLIENT"
"TRANSFER","541693.7524851925","4060","4751316150101353","4705845838814737","false","false","Peyton Mccoy","Joshua Lynn","CLIENT","CLIENT"
"TRANSFER","597605.2351508226","4301","4644606686345990","4237659125488049","false","false","Victoria Beard","Kimberly Daugherty","CLIENT","CLIENT"
"TRANSFER","528622.7405798247","4696","4380289408480136","4994570457353854","false","false","Adam Schneider","Gabriella Mendez","CLIENT","CLIENT"
"TRANSFER","511378.14647830685","4912","4009232800819338","4744468736938772","false","false","Kayla Hester","Aaliyah Harrington","CLIENT","CLIENT"
"TRANSFER","273892.81836726284","4958","4289251013033132","4284856972457869","false","false","Mason Workman","Charlotte Flowers","CLIENT","CLIENT"
"TRANSFER","1083002.4511765954","5029","4254527922271355","4058466547733184","false","false","Joshua Winters","Gabriella Landry","CLIENT","CLIENT"
"TRANSFER","476996.8697453745","5083","4083353481918675","4017385101040044","false","false","Carter Martinez","Carson Murray","CLIENT","CLIENT"
"TRANSFER","182090.53748542903","5142","4167040766952052","4146177205269650","false","false","Elizabeth Wood","Alexis Sullivan","CLIENT","CLIENT"
"TRANSFER","317293.3434962394","5190","4915949233535297","4085156564473155","false","false","Eva Galloway","Emily Dillard","CLIENT","CLIENT"
"TRANSFER","148447.49246334936","5204","4044664131908223","4575563620734529","false","false","Ella Harper","Morgan Hunt","CLIENT","CLIENT"
"TRANSFER","508131.6542117132","5274","4467072369534349","4150706141517724","false","false","Kevin Hays","Joseph Cotton","CLIENT","CLIENT"
"TRANSFER","87.42970337315907","5286","4530290273653129","4777850104744892","false","true","Addison Mueller","Isabella Casey","MULE","MULE"
"TRANSFER","38746.779417599144","5550","4430313571474138","4334829709944699","false","false","Morgan Melton","Brooklyn Gordon","CLIENT","CLIENT"
"TRANSFER","201283.28517803526","5604","4239507255459439","4462919266896780","false","false","Audrey Coleman","Christopher Chase","CLIENT","CLIENT"
"TRANSFER","436491.2042685653","5722","4545086762201880","4637684291612186","false","false","Blake Golden","Faith Woodward","CLIENT","CLIENT"
"TRANSFER","1666277.6043359349","5723","4545086762201880","4637684291612186","false","false","Blake Golden","Faith Woodward","CLIENT","CLIENT"
"TRANSFER","737833.1164151167","5947","4921980647479584","4497122618770519","false","false","Layla Serrano","Gianna Hickman","CLIENT","CLIENT"
"TRANSFER","1110228.4585926025","6081","4497122618770519","4869889827738467","false","false","Gianna Hickman","Alyssa Mcdowell","CLIENT","CLIENT"
"TRANSFER","656697.0286697715","6116","4139803710544373","4032289891686159","false","false","Jose Ward","Jonathan Finley","CLIENT","CLIENT"
"TRANSFER","574278.404276943","6277","4293015373558697","4575563620734529","false","false","Adrian Cortez","Morgan Hunt","CLIENT","CLIENT"
"TRANSFER","1286072.3393612467","6352","4341828825325313","4666674802346170","false","false","Brooklyn Mays","Kayden Bean","CLIENT","CLIENT"
"TRANSFER","406564.41300145973","6445","4690591502597714","4204252927785629","false","false","Ariana Shepherd","Ashley Gentry","CLIENT","CLIENT"
"TRANSFER","662763.0960409499","6458","4314960534684533","4097146858253385","false","false","Natalie Velazquez","Oliver Sellers","CLIENT","CLIENT"
"TRANSFER","342075.50021024636","6507","4083353481918675","4017385101040044","false","false","Carter Martinez","Carson Murray","CLIENT","CLIENT"
"TRANSFER","940017.2038872665","6511","4083353481918675","4017385101040044","false","false","Carter Martinez","Carson Murray","CLIENT","CLIENT"
"TRANSFER","728067.5559343207","6590","4830128574126923","4389696512811454","false","false","Ava Richard","Connor Houston","CLIENT","CLIENT"
"TRANSFER","720533.4599965948","6621","4389696512811454","4758208726940773","false","false","Connor Houston","Victoria Pearson","CLIENT","CLIENT"
"TRANSFER","541240.3647091712","6628","4140681636866345","4624911749099368","false","false","Josiah Key","Logan Adams","CLIENT","CLIENT"
"TRANSFER","970471.4273205777","6630","4140681636866345","4624911749099368","false","false","Josiah Key","Logan Adams","CLIENT","CLIENT"
"TRANSFER","684889.7431294504","6640","4739864811044519","4872545349272873","false","false","Luis Whitfield","Amelia Ellis","CLIENT","CLIENT"
"TRANSFER","754245.7811590997","6657","4637684291612186","4545086762201880","false","false","Faith Woodward","Blake Golden","CLIENT","CLIENT"
"TRANSFER","665578.832497469","6660","4637684291612186","4545086762201880","false","false","Faith Woodward","Blake Golden","CLIENT","CLIENT"
"TRANSFER","625492.5273940461","6725","4463863551299855","4026210185985626","false","false","Scarlett Curry","Easton Mayer","CLIENT","CLIENT"
"TRANSFER","205338.65212691203","6917","4140912119429271","4932731721564461","false","false","William Castillo","Samuel Elliott","CLIENT","CLIENT"
"TRANSFER","658106.5633451206","7137","4861172650473793","4638132279342268","false","false","Anna Todd","Bryson Greer","CLIENT","CLIENT"
"TRANSFER","698748.2355202234","7144","4624911749099368","4140681636866345","false","false","Logan Adams","Josiah Key","CLIENT","CLIENT"
"TRANSFER","513401.0743351733","7171","4202581290081469","4956093300756492","false","false","Brooklyn Charles","Tristan Harris","CLIENT","CLIENT"
"TRANSFER","333819.7282042755","7196","4167040766952052","4146177205269650","false","false","Elizabeth Wood","Alexis Sullivan","CLIENT","CLIENT"
"TRANSFER","489871.50730546965","7199","4167040766952052","4146177205269650","false","false","Elizabeth Wood","Alexis Sullivan","CLIENT","CLIENT"
"TRANSFER","542153.375016618","7269","4834136740457755","4819040102569794","false","false","Andrea Merrill","Bella Harper","CLIENT","CLIENT"
"TRANSFER","335976.30349625583","7333","4384800413125635","4782094669164195","false","false","Jacob Flynn","Alexa Decker","CLIENT","CLIENT"
"TRANSFER","841160.3334325019","7362","4786339840823557","4711862089559004","false","false","Gabriel Carter","William Mckinney","CLIENT","CLIENT"
"TRANSFER","560619.9038695997","7380","4903294781756514","4296128647722101","false","false","Serenity Mcgee","Robert Holder","CLIENT","CLIENT"
"TRANSFER","938743.0276144224","7582","4218085448615097","4336145546478603","false","false","Madeline Myers","Hunter Justice","CLIENT","CLIENT"
"TRANSFER","374535.78691501834","7595","4866051596912558","4093070823003952","false","false","Andrea Brady","Audrey Gonzalez","CLIENT","CLIENT"
"TRANSFER","847084.1248128761","7625","4058466547733184","4254527922271355","false","false","Gabriella Landry","Joshua Winters","CLIENT","CLIENT"
"TRANSFER","1055246.829407103","7636","4583007980881892","4727712507081424","false","false","Christopher Garrison","Arianna Henderson","CLIENT","CLIENT"
"TRANSFER","214308.87256853998","7783","4083353481918675","4017385101040044","false","false","Carter Martinez","Carson Murray","CLIENT","CLIENT"
"TRANSFER","187192.35566142722","7800","4842858528597730","4221830460513711","false","false","Sophia Nicholson","Cooper Schmidt","CLIENT","CLIENT"
"TRANSFER","73848.82629015832","7824","4545086762201880","4637684291612186","false","false","Blake Golden","Faith Woodward","CLIENT","CLIENT"
"TRANSFER","87490.90021054418","7918","4637684291612186","4545086762201880","false","false","Faith Woodward","Blake Golden","CLIENT","CLIENT"
"TRANSFER","762033.1826910025","7919","4637684291612186","4545086762201880","false","false","Faith Woodward","Blake Golden","CLIENT","CLIENT"
"TRANSFER","1013592.9588288129","7920","4637684291612186","4545086762201880","false","false","Faith Woodward","Blake Golden","CLIENT","CLIENT"
"TRANSFER","6994.07026927924","7955","4016416252880457","4813182188535590","false","false","Reagan Bradley","Levi Avery","CLIENT","CLIENT"
"TRANSFER","689989.503874435","7964","4209787054427128","4711736305550460","false","false","Lucas Santiago","Jasmine West","CLIENT","CLIENT"
"TRANSFER","144638.62368675016","8030","4167040766952052","4146177205269650","false","false","Elizabeth Wood","Alexis Sullivan","CLIENT","CLIENT"
"TRANSFER","265171.9163404873","8040","4739864811044519","4872545349272873","false","false","Luis Whitfield","Amelia Ellis","CLIENT","CLIENT"
"TRANSFER","458013.48115506","8060","4067395693936060","4988613639912623","false","false","Jose Talley","Claire Horton","CLIENT","CLIENT"
"TRANSFER","645527.3164559264","8077","4946207367172384","4107868513570451","false","false","Christian Arnold","Julian Wilder","CLIENT","CLIENT"
"TRANSFER","436967.1114953366","8098","4497122618770519","4869889827738467","false","false","Gianna Hickman","Alyssa Mcdowell","CLIENT","CLIENT"
"TRANSFER","539440.854760845","8110","4625043012072838","4868482512655039","false","false","Robert Erickson","Isaiah Hester","CLIENT","CLIENT"
"TRANSFER","812780.8318638491","8209","4314960534684533","4719590868234695","false","false","Natalie Velazquez","Evelyn Weeks","CLIENT","CLIENT"
"TRANSFER","462326.86782262556","8222","4321366473679966","4915977575358382","false","false","Oliver Jones","Brody Bauer","CLIENT","CLIENT"
"TRANSFER","681785.348884007","8237","4709391052055802","4623240228244340","false","false","Brayden Richardson","Jackson Lambert","CLIENT","CLIENT"
"TRANSFER","174827.4599831274","8327","4561712796345208","4177907839202574","false","false","Sarah Vazquez","Adrian Murphy","CLIENT","CLIENT"
"TRANSFER","810292.8082034128","8357","4861172650473793","4638132279342268","false","false","Anna Todd","Bryson Greer","CLIENT","CLIENT"
"TRANSFER","585074.983277844","8430","4595787785870366","4002927074710793","false","false","Stella Slater","Ayden Galloway","CLIENT","CLIENT"
"TRANSFER","472158.714006752","8572","4130965985897460","4852437134669634","false","false","Elizabeth Wiley","Stella Norman","CLIENT","CLIENT"
"TRANSFER","464552.1583850199","8657","4583007980881892","4727712507081424","false","false","Christopher Garrison","Arianna Henderson","CLIENT","CLIENT"
"TRANSFER","85821.91834929638","8739","4852437134669634","4130965985897460","false","false","Stella Norman","Elizabeth Wiley","CLIENT","CLIENT"
"TRANSFER","497176.0300858938","8769","4545086762201880","4637684291612186","false","false","Blake Golden","Faith Woodward","CLIENT","CLIENT"
"TRANSFER","729486.2948461076","8868","4627197792590720","4872679179874134","false","false","Ashley Workman","Caleb Massey","CLIENT","CLIENT"
"TRANSFER","64021.62993255607","8908","4239507255459439","4462919266896780","false","false","Audrey Coleman","Christopher Chase","CLIENT","CLIENT"
"TRANSFER","332029.22799503716","8941","4357554877775434","4564913584950228","false","false","Gavin Little","Liam Rivas","CLIENT","CLIENT"
"TRANSFER","427618.3951028442","8955","4009549069087202","4624368948816235","false","false","Kayden Molina","Sebastian Wells","CLIENT","CLIENT"
"TRANSFER","345873.84168235154","9014","4430313571474138","4334829709944699","false","false","Morgan Melton","Brooklyn Gordon","CLIENT","CLIENT"
"TRANSFER","348474.17404966144","9054","4382795947570763","4494767598215258","false","false","Ava Flowers","Christian Dawson","CLIENT","CLIENT"
"TRANSFER","679516.9871142998","9118","4382795947570763","4501348567042311","false","false","Ava Flowers","Anna Fuentes","CLIENT","CLIENT"
"TRANSFER","379848.67483086395","9129","4842858528597730","4221830460513711","false","false","Sophia Nicholson","Cooper Schmidt","CLIENT","CLIENT"
"TRANSFER","162418.1585855814","9145","4758208726940773","4215125620396174","false","false","Victoria Pearson","Taylor Lambert","CLIENT","CLIENT"
"TRANSFER","505773.30390871764","9181","4422964465248556","4462050442635825","false","false","David Ward","Evan Wong","CLIENT","CLIENT"
"TRANSFER","110495.99441964715","9386","4289251013033132","4284856972457869","false","false","Mason Workman","Charlotte Flowers","CLIENT","CLIENT"
"TRANSFER","413696.7254341745","9478","4086921210366767","4875259805318843","false","false","Sebastian Barlow","Joseph Stevenson","CLIENT","CLIENT"
"TRANSFER","625755.8584066612","9479","4215125620396174","4758208726940773","false","false","Taylor Lambert","Victoria Pearson","CLIENT","CLIENT"
"TRANSFER","963556.9606513111","9487","4869889827738467","4497122618770519","false","false","Alyssa Mcdowell","Gianna Hickman","CLIENT","CLIENT"
"TRANSFER","704138.0611405674","9505","4009232800819338","4744468736938772","false","false","Kayla Hester","Aaliyah Harrington","CLIENT","CLIENT"
"TRANSFER","473291.76392512786","9549","4384800413125635","4782094669164195","false","false","Jacob Flynn","Alexa Decker","CLIENT","CLIENT"
"TRANSFER","504921.5474581182","9630","4915949233535297","4085156564473155","false","false","Eva Galloway","Emily Dillard","CLIENT","CLIENT"
"TRANSFER","407034.113943226","9758","4666674802346170","4618741812770498","false","false","Kayden Bean","Genesis Williams","CLIENT","CLIENT"
"TRANSFER","471695.72633447417","9788","4324625715992611","4307599548532442","false","false","Oliver Navarro","Sophie Roman","CLIENT","CLIENT"
"TRANSFER","715193.0436550933","9802","4739864811044519","4872545349272873","false","false","Luis Whitfield","Amelia Ellis","CLIENT","CLIENT"
"TRANSFER","75511.94768696837","9852","4758051180456278","4037550485903846","false","false","Julia Gibson","Emma Alvarez","CLIENT","CLIENT"
"TRANSFER","466261.8599807358","9887","4901641367504563","4652718452592116","false","false","Sarah York","Levi Hardin","CLIENT","CLIENT"
"TRANSFER","712125.6294575133","9894","4314960534684533","4719590868234695","false","false","Natalie Velazquez","Evelyn Weeks","CLIENT","CLIENT"
"TRANSFER","135473.49494451925","9942","4462050442635825","4868926943916766","false","false","Evan Wong","Mackenzie Curtis","CLIENT","CLIENT"
"TRANSFER","478540.47162036086","9959","4221487573679200","4994570457353854","false","false","Alyssa Ball","Gabriella Mendez","CLIENT","CLIENT"
